pokemon,card_name,set_name,card_number,pricecharting_product_id,image_url
Pikachu,Pikachu,Base Set,#58,,
Pikachu,Pikachu VMAX,Vivid Voltage,#188,,
Pikachu,Pikachu,Jungle,#60,,
Pikachu,Flying Pikachu,Promo,#25,,
Pikachu,Pikachu,Skyridge,#112,,
Pikachu,Pikachu ex,FireRed & LeafGreen,#104,,
Pikachu,Pikachu V,Vivid Voltage,#043,,
Pikachu,Pikachu,Celebrations,#005,,
Pikachu,Surfing Pikachu,Promo,#28,,
Pikachu,Pikachu Gold Star,EX Holon Phantoms,#79,,
Charizard,Charizard,Base Set,#4,,
Charizard,Charizard ex,FireRed & LeafGreen,#105,,
Charizard,Charizard VMAX,Darkness Ablaze,#020,,
Charizard,Charizard,Base Set 2,#4,,
Charizard,Charizard ex,Power Keepers,#003,,
Charizard,Charizard V,Champion's Path,#079,,
Charizard,Charizard,Legendary Collection,#3,,
Charizard,Charizard ex,Dragon,#100,,
Charizard,Charizard VSTAR,Brilliant Stars,#018,,
Charizard,Charizard,Celebrations,#004,,
Mewtwo,Mewtwo,Base Set,#10,,
Mewtwo,Mewtwo ex,Next Destinies,#54,,
Mewtwo,Mewtwo GX,Shining Legends,#39,,
Mewtwo,Mewtwo VSTAR,Pokemon GO,#031,,
Mewtwo,Mewtwo,Legendary Collection,#29,,
Mewtwo,Mewtwo ex,Legend Maker,#103,,
Mewtwo,Mewtwo V,Pokemon GO,#030,,
Mewtwo,Mewtwo,Wizards Black Star Promo,#3,,
Mewtwo,Mewtwo GX,Shining Legends,#72,,
Mewtwo,Mewtwo ex,Expedition,#103,,
Mew,Mew,Wizards Black Star Promo,#8,,
Mew,Mew ex,Legend Maker,#88,,
Mew,Mew,Legendary Collection,#9,,
Mew,Mew VMAX,Fusion Strike,#114,,
Mew,Mew,Ancient Mew Promo,#8,,
Mew,Mew ex,Holon Phantoms,#111,,
Mew,Mew V,Fusion Strike,#113,,
Mew,Mew,Promo,#151,,
Mew,Mew Gold Star,Dragon Frontiers,#101,,
Mew,Mew,Celebrations,#025,,
Eevee,Eevee,Jungle,#51,,
Eevee,Eevee,Promo,#51,,
Eevee,Eevee,Skyridge,#54,,
Eevee,Eevee ex,Power Keepers,#102,,
Eevee,Eevee,Delta Species,#113,,
Eevee,Eevee V,Sword & Shield,#080,,
Eevee,Eevee,Celebrations,#063,,
Eevee,Eevee,Unbroken Bonds,#166,,
Eevee,Eevee,Prismatic Evolutions,#074,,
Eevee,Eevee,Stellar Crown,#135,,
Umbreon,Umbreon,Neo Discovery,#13,,
Umbreon,Umbreon ex,Celebrations,#095,,
Umbreon,Umbreon VMAX,Evolving Skies,#215,,
Umbreon,Umbreon Gold Star,POP Series 5,#17,,
Umbreon,Umbreon V,Evolving Skies,#094,,
Umbreon,Umbreon,Skyridge,#H30,,
Umbreon,Umbreon ex,Prismatic Evolutions,#161,,
Umbreon,Umbreon,Neo Discovery,#32,,
Umbreon,Umbreon V,Prismatic Evolutions,#059,,
Umbreon,Umbreon ex,Celebrations Classic,#13,,
Rayquaza,Rayquaza,EX Deoxys,#97,,
Rayquaza,Rayquaza ex,EX Emerald,#102,,
Rayquaza,Rayquaza VMAX,Evolving Skies,#218,,
Rayquaza,Rayquaza Gold Star,EX Deoxys,#107,,
Rayquaza,Rayquaza V,Evolving Skies,#100,,
Rayquaza,Rayquaza,Dragon,#22,,
Rayquaza,Rayquaza ex,EX Delta Species,#101,,
Rayquaza,Rayquaza VMAX,Crown Zenith,#102,,
Rayquaza,Rayquaza,EX Holon Phantoms,#22,,
Rayquaza,Rayquaza V,Crown Zenith,#100,,
Lugia,Lugia,Neo Genesis,#9,,
Lugia,Lugia ex,Silver Tempest,#186,,
Lugia,Lugia V,Silver Tempest,#138,,
Lugia,Lugia,Aquapolis,#H32,,
Lugia,Lugia ex,Unseen Forces,#105,,
Lugia,Lugia VSTAR,Silver Tempest,#195,,
Lugia,Lugia,Celebrations,#022,,
Lugia,Lugia ex,EX Team Plasma,#102,,
Lugia,Lugia V,Silver Tempest,#139,,
Lugia,Lugia,Neo Revelation,#20,,
Gengar,Gengar,Fossil,#5,,
Gengar,Gengar ex,Legend Maker,#93,,
Gengar,Gengar VMAX,Fusion Strike,#271,,
Gengar,Gengar,Skyridge,#H9,,
Gengar,Gengar V,Fusion Strike,#156,,
Gengar,Gengar,Legendary Collection,#11,,
Gengar,Gengar ex,Phantom Forces,#34,,
Gengar,Gengar VMAX,Chilling Reign,#103,,
Gengar,Gengar,Team Rocket,#13,,
Gengar,Gengar ex,XY BREAKthrough,#114,,
Blastoise,Blastoise,Base Set,#2,,
Blastoise,Blastoise ex,FireRed & LeafGreen,#104,,
Blastoise,Blastoise VMAX,Champions Path,#010,,
Blastoise,Blastoise,Base Set 2,#2,,
Blastoise,Blastoise ex,Power Keepers,#002,,
Blastoise,Blastoise V,Champions Path,#009,,
Blastoise,Blastoise,Legendary Collection,#2,,
